paper_no,paper_key,year,oa_url,code,xc_functional,pseudopotential,k_mesh,cutoff,force_threshold,energy_threshold,vacuum,basis_size,notes,title,
28,10.21203_rs.3.rs-3221946_v1,2023,https://www.researchsquare.com/article/rs-3221946/latest.pdf,,,,,,,,,,,First-principles study of optical aspects of Penta-graphene and T- Car,
29,10.3389_fchem.2022.1061703,2022,https://doi.org/10.3389/fchem.2022.1061703,,,,,,,,,,,Theoretical analysis of the thermoelectric properties of penta-PdX2 (X,
30,10.3389_fmats.2021.683503,2021,https://www.frontiersin.org/articles/10.3389/fmats.2021.683503/pdf,,,,,,,,,,,Uniform Strain-Dependent Thermal Conductivity of Pentagonal and Hexago,
31,10.4279_pip.130003,2021,https://www.papersinphysics.org/papersinphysics/article/download/677/357,,,,,,,,,,,An ab initio study of small gas molecule adsorption on the edge of N-d,
32,10.48550_arxiv.1701.03715,2017,https://arxiv.org/pdf/1701.03715,,,,,,,,,,,The anisotropic ultrahigh hole mobility in strain-engineering two-dime,
33,10.48550_arxiv.1703.03789,2017,https://arxiv.org/pdf/1703.03789,,,,,,,,,,,Mechanical Properties and Fracture Patterns of Pentagraphene Membranes,
34,10.48550_arxiv.1703.09071,2017,https://arxiv.org/pdf/1703.09071,,,,,,,,,,,Metamorphosis in Carbon Network: From Penta-Graphene to Biphenylene un,
35,10.48550_arxiv.2109.04006,2021,https://arxiv.org/pdf/2109.04006,,,,,,,,,,,Two-dimensional pentagonal material Penta-PdPSe: A first-principle stu,
36,10.48550_arxiv.2202.03963,2022,https://arxiv.org/pdf/2202.03963,,,,,,,,,,,Topological bands in the PdSe$_2$ pentagonal monolayer,
37,10.48550_arxiv.2210.12697,2022,https://arxiv.org/pdf/2210.12697,,,,,,,,,,,Tetragonal Mexican-Hat Dispersion and Switchable Half-Metal State with,
38,10.48550_arxiv.2305.08111,2023,https://arxiv.org/pdf/2305.08111,,,,,,,,,,,Electronic band structure change with structural transition of buckled,
39,10.48550_arxiv.2312.06394,2023,https://arxiv.org/pdf/2312.06394,,,,,,,,,,,Many-body effects on the quasiparticle band structure and optical resp,
40,10.48550_arxiv.2401.05429,2024,https://arxiv.org/pdf/2401.05429,,,,,,,,,,,First-principles calculations of the electronic and optical properties,
41,10.48550_arxiv.2406.13096,2024,https://arxiv.org/pdf/2406.13096,,,,,,,,,,,Electric field enhances the electronic and diffusion properties of pen,
42,10.48550_arxiv.2411.06186,2024,https://arxiv.org/pdf/2411.06186,,,,,,,,,,,Defect engineering in two-dimensional pentagonal PdTe$_2$: Tuning elec,
43,10.48550_arxiv.2412.16857,2024,https://arxiv.org/pdf/2412.16857,,,,,,,,,,,Altermagnetism and Strain Induced Altermagnetic Transition in Cairo Pe,
44,10.48550_arxiv.2503.04035,2025,https://arxiv.org/pdf/2503.04035,,,,,,,,,,,Unveiling the Oxidation Mechanisms of Octa-Penta Graphene: A Multidime,
45,10.48550_arxiv.2507.17247,2025,https://arxiv.org/pdf/2507.17247,,,,,,,,,,,Mechanically and electrically switchable triferroic altermagnet in a p,
46,10.48550_arxiv.2508.00704,2025,https://arxiv.org/pdf/2508.00704,,,,,,,,,,,XANES absorption spectra of penta-graphene and penta-SiC2 with differe,
47,10.48550_arxiv.2510.13107,2025,https://arxiv.org/pdf/2510.13107,,,,,,,,,,,First-Principles Exploration of Pentagonal TiN$_8$ and MoN$_8$ Monolay,
48,10.56042_ijc.v63i9.10558,2024,https://or.niscpr.res.in/index.php/IJC/article/download/10558/3412,,,,,,,,,,,First-principles study of optical aspects of Penta-graphene monolayer ,
49,10.7498_aps.70.20201939,2021,https://wulixb.iphy.ac.cn/pdf-content/10.7498/aps.70.20201939.pdf,,,,,,,,,,,Thermoelectric transport properties of two-dimensional materials &lt,i
50,W7169923838,,https://doi.org/,,,,,,,,,,,,
