paper_no,paper_key,title,year,field,field_hint,reported,value,unit,evidence_quote,notes
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,Gaussian16,,"The present work employed the computational chemistry software Gaussian1665 to calculate the electronic, structural, and HER catalytic properties of penta −CN2 QDs within the framework of ab-initio density functional theory (DFT).",
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,B3LYP,,"The hybrid exchange-correlation functional B3LYP integrated with Becke’s three parameters (B3) exchange functional66 and Lee, Yang, and Parr (LYP) non-local correlation functional67 was chosen in all the calculations.",
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",n/a,,,,"All-electron Pople basis set 6-31G(d,p) used for C, N, H in Gaussian; no pseudopotential"
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,k_mesh,e.g. 15x15x1; write as printed,n,,,,"0D molecular quantum dot cluster calculation (non-periodic, no k-mesh)"
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,Gaussian GTO calculation (no plane-wave or real-space mesh cutoff)
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,force_threshold_ev_ang,force convergence criterion,n,,,,Not reported
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not reported
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n/a,,,,0D isolated molecular cluster calculation without periodic boundary conditions
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",y,"6-31G(d,p)",,"The split valence basis set 6-31G(d,p) with B3LYP has been found to be adequate for obtaining reliable results for H-adsorption50.",Gaussian GTO split-valence basis set
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,ABINIT,,"In this computation, we use ABINIT code, this code is based on pseudopotentials and plane waves.",
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,HTCH407,,"We plotthe band structure of penta-graphene which calculated with the generalized gradient approximation functional HTCH407, about Fermi energy.",Multiple LDA and GGA functionals evaluated in Table 1; HTCH407 highlighted
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,Martins-Trouiller,,We use Martins-Trouiller pseudopotential [20].,Norm-conserving Martins-Trouiller pseudopotentials
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,k_mesh,e.g. 15x15x1; write as printed,y,18 18 1,,The k point set is based on a 18 18 1 Monkhorst pack grid [21].,
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,50,Ha,The plane wave basis set is50 Ha (Hartree) that total energy converges to 1meV/atom.,"50 Ha for DFT, 20 Ha for G0W0"
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,force_threshold_ev_ang,force convergence criterion,n,,,,Not reported
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,energy_threshold_ev,SCF / total-energy convergence criterion,y,1,meV/atom,The plane wave basis set is50 Ha (Hartree) that total energy converges to 1meV/atom.,Convergence given as 1 meV/atom
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,10,Å,"In this computation, vacuum alone the z direction is 10 Å.",
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (ABINIT)
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,"All the calculations on pentagonal graphene and pSiC2, were performed by using the plane-wave basis Vienna ab initio simulation package (VASP) code,15 implementing the Perdew-Burke-Ernzerhof exchange correlation functional.16",
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,"All the calculations on pentagonal graphene and pSiC2, were performed by using the plane-wave basis Vienna ab initio simulation package (VASP) code,15 implementing the Perdew-Burke-Ernzerhof exchange correlation functional.16",
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,In an all-electron description the projector augmented wave method was used to describe the electron-ion interaction.17,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,k_mesh,e.g. 15x15x1; write as printed,y,20×20×1,,"A 20×20×1 Monkhorst-Pack grid was used for the sampling of the Brillouin zone during geometry optimization, and 100 k-points in between high-symmetry points were used to obtain the well deﬁned band structures.",
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,500,eV,"The cutoff energy for plane waves was chosen to be 500 eV, and the vacuum space to avoid interaction between periodical image cells was of at least 20 Å.",
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,force_threshold_ev_ang,force convergence criterion,y,3,meV/Å,"The atomic positions in the supercell were allowed to relax, and the convergence of force was set to 3 meV/Å.",3 meV/Å (0.003 eV/Å)
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not reported
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,20,Å,"The cutoff energy for plane waves was chosen to be 500 eV, and the vacuum space to avoid interaction between periodical image cells was of at least 20 Å.",at least 20 Å
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (VASP)
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,Quantum ESPRESSO,,"The cubic force constants are calculated using finite difference according to Eq. (4), where atoms are moved systematically by 0.01 Å from their equilibrium positions and the resultant forces are calculated using density functional theory (DFT) as implemented in Quantum Espresso. 58",
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,"For all structures studied, ultrasoft pseudopotentials were used with the generalized gradient approximation (GGA) 60,61 , parameterized by Perdew-Burke-Ernzerhof, 61 for the exchange-correlation functional.",
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,ultrasoft,,"For all structures studied, ultrasoft pseudopotentials were used with the generalized gradient approximation (GGA) 60,61 , parameterized by Perdew-Burke-Ernzerhof, 61 for the exchange-correlation functional.",
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,k_mesh,e.g. 15x15x1; write as printed,y,8 x 8 x 1,,A planewave basis was employed with a cut-off energy of 50 Rydberg and the Monkhorst-Pack 62 scheme was used to generate an 8 x 8 x 1 k-point mesh; both cut-off and mesh size based on the convergence of the lattice energy.,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,50,Rydberg,A planewave basis was employed with a cut-off energy of 50 Rydberg and the Monkhorst-Pack 62 scheme was used to generate an 8 x 8 x 1 k-point mesh; both cut-off and mesh size based on the convergence of the lattice energy.,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,force_threshold_ev_ang,force convergence criterion,n,,,,Not reported
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not reported
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not reported
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (Quantum ESPRESSO)
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,"The self-consistent energy calculations and structure optimization were employed using the Perdew-Burke-Ernzerhof (PBE) exchange-correlation functional24 along with the projector-augmented wave (PAW) potentials25,26 as implemented in the Vienna Ab-initio Simulation Package (VASP).27,28",
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,"The self-consistent energy calculations and structure optimization were employed using the Perdew-Burke-Ernzerhof (PBE) exchange-correlation functional24 along with the projector-augmented wave (PAW) potentials25,26 as implemented in the Vienna Ab-initio Simulation Package (VASP).27,28",Also checked with LDA and HSE06
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,"The self-consistent energy calculations and structure optimization were employed using the Perdew-Burke-Ernzerhof (PBE) exchange-correlation functional24 along with the projector-augmented wave (PAW) potentials25,26 as implemented in the Vienna Ab-initio Simulation Package (VASP).27,28",
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,k_mesh,e.g. 15x15x1; write as printed,n,,,,Not reported (tetrahedron method with Blochl correction mentioned for BZ integration without grid dimensions)
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,800,eV,The kinetic energy cut-oﬀwas 800 eV and tetrahedron method with Blöchl correction29 was used to integrate the Brillouin-zone.,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,force_threshold_ev_ang,force convergence criterion,y,0.1,meV/Å,Energy convergence value in self-consistent ﬁeld (scf) loop was selected as 10−8 eV and a maximum Hellmann-Feynman forces is less than 0.1 meV/Å.,0.1 meV/Å (0.0001 eV/Å)
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,energy_threshold_ev,SCF / total-energy convergence criterion,y,10−8,eV,Energy convergence value in self-consistent ﬁeld (scf) loop was selected as 10−8 eV and a maximum Hellmann-Feynman forces is less than 0.1 meV/Å.,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated in text (Table 1 lists supercell lattice constants including out-of-plane vector |a3| = 20.00 A / |a1| = 20.00 A)
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (VASP)
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,Plane-wave density functional theory (DFT) calculations were performed using the VASP package equipped with the projector-augmented-wave (PAW) method for electron-ion interactions.20,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,The exchange-correlation interactions were considered in the generalized gradient approximation (GGA) using the Perdew-Burke-Ernzerhof (PBE) functional.21  Van der Waals (vdW) interactions between the PdSe2 layers were included using the vdW density functional method optPBE-vdW (denoted as optPBE).22,optPBE-vdW used for layered PdSe2
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,Plane-wave density functional theory (DFT) calculations were performed using the VASP package equipped with the projector-augmented-wave (PAW) method for electron-ion interactions.20,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,k_mesh,e.g. 15x15x1; write as printed,y,12×12×8,,"For bulk PdSe2, both atoms and cell volume were allowed to relax (i.e., ISIF = 3) until the residual forces were below 0.001 eV/Å, with a cutoff energy of 350 eV and the 12×12×8 k-point sampling.",12x12x8 for bulk PdSe2
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,350,eV,"For bulk PdSe2, both atoms and cell volume were allowed to relax (i.e., ISIF = 3) until the residual forces were below 0.001 eV/Å, with a cutoff energy of 350 eV and the 12×12×8 k-point sampling.",
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,force_threshold_ev_ang,force convergence criterion,y,0.001,eV/Å,"For bulk PdSe2, both atoms and cell volume were allowed to relax (i.e., ISIF = 3) until the residual forces were below 0.001 eV/Å, with a cutoff energy of 350 eV and the 12×12×8 k-point sampling.",
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not reported
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not reported in main text (main text describes bulk relaxation; SI referenced for further details)
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Plane-wave code (VASP)
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,We use Vienna Ab initio Simulation Package (VASP)53 for all density functional theory calculations.,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,"Projector-augmented-wave (PAW) potential was utilized for ion-electron interaction, and the generalized gradient approximation (GGA) with the Perdew-Burke-Ernzerhof (PBE) functional54 was applied to describe electron exchange-correlation interaction.",
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,"Projector-augmented-wave (PAW) potential was utilized for ion-electron interaction, and the generalized gradient approximation (GGA) with the Perdew-Burke-Ernzerhof (PBE) functional54 was applied to describe electron exchange-correlation interaction.",
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,k_mesh,e.g. 15x15x1; write as printed,n,,,,Not reported in main text (Supplementary Note 5 referenced)
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,600,eV,The energy cutoff was set to be 600 eV.,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,force_threshold_ev_ang,force convergence criterion,n,,,,Not reported in main text
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not reported in main text
