paper_no,paper_key,title,year,field,field_hint,reported,value,unit,evidence_quote,notes
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,550,eV,expanded in a plane-wave basis set with an energy cutoff of 550 eV,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,force_threshold_ev_ang,force convergence criterion,y,0.01,eV/Å,residual forces on each atom were less than 0.01 eV/Å,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,energy_threshold_ev,SCF / total-energy convergence criterion,y,10^-6,eV,total-energy change was below 10−6 eV,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,20,Å,inserting a vacuum spacing of 20 Å along the z-axis,
2,10.1016_j.apsusc.2026.167411,Pentagonal PdTe2 monolayer for sustainable solar-driven hydrogen production,2026,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,DMol3,,using the DMol3 module as implemented in Biovia Materials Studio software,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,LDA / PWC,,Local Density Approximation (LDA) is considered employing the Perdew-Wang (PWC) functional,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,semi-core DFT pseudopotentials,,nuclei-valence electron interactions are represented by the inclusion of semi-core DFT pseudopotentials,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,k_mesh,e.g. 15x15x1; write as printed,y,14 × 14 × 1,,The K points in the Brillouin zone are considered within a 14 × 14 × 1 Monkhorst-Pack mesh,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,"DMol3 is an LCAO code, but no mesh cutoff or orbital cutoff radius was explicitly stated."
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,force_threshold_ev_ang,force convergence criterion,y,0.002,Ha/Å,0.002 Ha/Å for maximum force,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,energy_threshold_ev,SCF / total-energy convergence criterion,y,1 × 10−5,,1 × 10−5 for the self-consistent field,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,30,Å,vacuum space of 30 Å,
3,10.1016_j.cplett.2020.138229,"O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e362"" alt",2020,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",y,DNP,,"unrestricted spin (DNP), and a numerical basis set of atomic orbitals with polarized functions",
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,Gaussian16,,"employed the computational chemistry software Gaussian16[65] to calculate the electronic, structural, and HER catalytic properties",
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,B3LYP,,"The hybrid exchange-correlation functional B3LYP integrated with Becke’s three parameters (B3) exchange functional[66] and Lee, Yang, and Parr (LYP) non-local correlation functional[67] was chosen",
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",n/a,,,,"Gaussian all-electron calculation with 6-31G(d,p) basis, so no pseudopotential."
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,k_mesh,e.g. 15x15x1; write as printed,n,,,,"0D molecular calculation in Gaussian, so no k-mesh exists. Marked n following the never n/a rule."
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",n,,,,Grid cutoff for DFT integration not stated.
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,force_threshold_ev_ang,force convergence criterion,n,,,,Not stated.
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not stated.
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n/a,,,,"Non-periodic Gaussian calculation, vacuum spacing does not apply."
4,10.1016_j.ijhydene.2024.03.016,First-principles study of penta-CN2 quantum dots for efficient Hydrogen Evolution Reaction,2024,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",y,"6-31G(d,p)",,"The split valence basis set 6-31G(d,p) with B3LYP has been found to be adequate",
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,ABINIT,,"In this computation, we use ABINIT code",
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,DFT-GGA and DFT-LDA,,"In the following, we use DFT-GGA and DFT-LDA calculation in the form of different exchange-correlation (xc) functions",
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,Martins-Trouiller,,We use Martins-Trouiller pseudopotential [20].,
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,k_mesh,e.g. 15x15x1; write as printed,y,18 18 1,,The k point set is based on a 18 18 1 Monkhorst pack grid [21].,
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,50,Ha,The plane wave basis set is50 Ha (Hartree),
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,force_threshold_ev_ang,force convergence criterion,n,,,,Not stated.
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,"Basis set cutoff convergence was tested to 1 meV/atom, but the SCF convergence threshold is not stated."
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,10,Å,vacuum alone the z direction is 10 Å.,
5,10.1016_j.ssc.2015.12.012,Computing the band structure and energy gap of penta-graphene by using DFT and G0W0 approx,2016,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,ABINIT is a plane-wave code
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,performed by using the plane-wave basis Vienna ab initio simulation package (VASP) code,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE,,implementing the Perdew-Burke-Ernzerhof exchange correlation functional,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,projector augmented wave method was used to describe the electron-ion interaction,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,k_mesh,e.g. 15x15x1; write as printed,y,20×20×1,,A 20×20×1 Monkhorst-Pack grid was used for the sampling of the Brillouin zone,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,500,eV,The cutoff energy for plane waves was chosen to be 500 eV,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,force_threshold_ev_ang,force convergence criterion,y,3,meV/Å,the convergence of force was set to 3 meV/Å,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not stated.
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,20,Å,the vacuum space to avoid interaction between periodical image cells was of at least 20 Å.,
6,10.1021_acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,Quantum Espresso,,density functional theory (DFT) as implemented in Quantum Espresso.,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,GGA / PBE,,"generalized gradient approximation (GGA) 60,61 , parameterized by Perdew-Burke-Ernzerhof",
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,ultrasoft pseudopotentials,,ultrasoft pseudopotentials were used,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,k_mesh,e.g. 15x15x1; write as printed,y,8 x 8 x 1,,generate an 8 x 8 x 1 k-point mesh,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,50,Rydberg,A planewave basis was employed with a cut-off energy of 50 Rydberg,
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,force_threshold_ev_ang,force convergence criterion,n,,,,Not stated.
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not stated.
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated.
7,10.1021_acs.nanolett.6b01536,Hydrogenation of Penta-Graphene Leads to Unexpected Large Improvement in Thermal Conductiv,2016,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,Quantum Espresso is a plane-wave code
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,implemented in the Vienna Ab-initio Simulation Package (VASP),
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE / HSE06,,"using the Perdew-Burke-Ernzerhof (PBE) exchange-correlation functional ... we adopt the screened hybrid functional of Heyd, Scuseria, and Ernzerhof (HSE06)",
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,projector-augmented wave (PAW) potentials,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,k_mesh,e.g. 15x15x1; write as printed,n,,,,Integration method mentioned but k-mesh dimensions not explicitly stated.
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,800,eV,The kinetic energy cut-oﬀ was 800 eV,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,force_threshold_ev_ang,force convergence criterion,y,0.1,meV/Å,a maximum Hellmann-Feynman forces is less than 0.1 meV/Å,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,energy_threshold_ev,SCF / total-energy convergence criterion,y,10^-8,eV,Energy convergence value in self-consistent ﬁeld (scf) loop was selected as 10−8 eV,
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated.
8,10.1021_acs.nanolett.6b03921,Novel Two-Dimensional Silicon Dioxide with in-Plane Negative Poisson’s Ratio,2017,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,Plane-wave density functional theory (DFT) calculations were performed using the VASP package,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,PBE / optPBE-vdW,,using the Perdew-Burke-Ernzerhof (PBE) functional... vdW density functional method optPBE-vdW,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,equipped with the projector-augmented-wave (PAW) method,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,k_mesh,e.g. 15x15x1; write as printed,y,12 x 12 x 8,,and the 12×12×8 k-point sampling,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,350,eV,with a cutoff energy of 350 eV,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,force_threshold_ev_ang,force convergence criterion,y,0.001,eV/Å,until the residual forces were below 0.001 eV/Å,
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not explicitly stated.
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated.
9,10.1021_jacs.7b04865,PdSe<sub>2</sub>: Pentagonal Two-Dimensional Layers with High Air Stability for Electronic,2017,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,We use Vienna Ab initio Simulation Package (VASP)[53] for all density functional theory calculations.,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,GGA / PBE,,generalized gradient approximation (GGA) with the Perdew-Burke-Ernzerhof (PBE) functional[54] was applied,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,Projector-augmented-wave (PAW) potential was utilized,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,k_mesh,e.g. 15x15x1; write as printed,n,,,,Not explicitly stated.
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,600,eV,The energy cutoff was set to be 600 eV.,
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,force_threshold_ev_ang,force convergence criterion,n,,,,Not explicitly stated.
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,energy_threshold_ev,SCF / total-energy convergence criterion,n,,,,Not explicitly stated.
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated.
10,10.1038_s41535-025-00793-0,Altermagnetism and strain induced altermagnetic transition in Cairo pentagonal monolayer,2025,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,SIESTA,,All calculations were performed with the SIESTA software suite.,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,GGA / PBE,,"Generalized Gradient Approximation (GGA) scheme as proposed for Perdew, Burke, and Ernzerhof (GGA/PBE)",
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,Troullier-Martins,,Relativistic pseudopotentials parameterized within the Troullier-Martins formalism were also considered.,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,k_mesh,e.g. 15x15x1; write as printed,y,21 x 21 x 3,,Monkhorst pack grid of 21 x 21 x 3 was used.,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,200,Ry,A mesh cutoﬀ of 200 Ry was chosen as a parameter for our calculations.,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,force_threshold_ev_ang,force convergence criterion,y,0.001,eV/Å,The force criteria convergence was 0.001 eV/ Å.,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,energy_threshold_ev,SCF / total-energy convergence criterion,y,0.00001,eV,total energy was set to 0.00001 eV,
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,n,,,,Not explicitly stated.
11,10.1038_s41598-020-64791-x,Tuning Penta-Graphene Electronic Properties Through Engineered Line Defects,2020,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",y,DZP,,along with the DZP basis set.,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,code,"which DFT package (VASP, Quantum ESPRESSO, SIESTA, CASTEP, ...)",y,VASP,,implemented in the Vienna ab initio simulation package (VASP),
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,xc_functional,"e.g. PBE, PBEsol, LDA, HSE06",y,GGA / PBE,,"generalized gradient approximation with Perdew, Burke, and Ernzerhof (PBE) parameterization",
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,pseudopotential_type,"e.g. PAW, norm-conserving, ultrasoft",y,PAW,,The projector augmented-wave (PAW) method was used,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,k_mesh,e.g. 15x15x1; write as printed,y,15 x 15 x 1,,The Monkhorst-Pack k-mesh of 15 x 15 x 1 was applied,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,cutoff,"the basis cutoff FOR THIS CODE: plane-wave cutoff (eV or Ry) for VASP/QE/CASTEP, or mesh cutoff (Ry) for SIESTA. One value only.",y,400,eV,The cutoff energy for plane-wave basis set was chosen to be 400 eV.,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,force_threshold_ev_ang,force convergence criterion,y,0.02,eV/Å,All the atoms were fully relaxed with force converge up to 0.02 eV/Å.,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,energy_threshold_ev,SCF / total-energy convergence criterion,y,10^-5,eV,The calculated total energy was converged to 10^-5 eV.,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,vacuum_spacing_ang,vacuum thickness along the non-periodic axis,y,15,Å,with a 15 Å vacuum in z direction,
12,10.1038_srep31840,Penta-BxNy sheet: a density functional theory study of two-dimensional material,2016,basis_size,"NAO codes ONLY (SIESTA: DZP, TZP...). Write n/a for plane-wave codes.",n/a,,,,VASP is a plane-wave code
